TIMESTAMP [s],PPG1_SUB1,PPG1_SUB2,PPG1_SUB3,PPG1_SUB4,PPG1_SUB5,PPG1_SUB6,PPG1_SUB7,PPG1_SUB8,PPG2_SUB1,PPG2_SUB2,PPG2_SUB3,PPG2_SUB4,PPG2_SUB5,PPG2_SUB6,PPG2_SUB7,PPG2_SUB8,ECG_SEQ1_SUB1,ECG_SEQ1_SUB2,ECG_SEQ2_SUB1
5.08,-5,502,476,,,,,,,,,,,,,,,,
5.09,-4,529,498,,,,,,,,,,,,,,,,
5.1,-4,550,516,,,,,,,,,,,,,,,,
5.11,-2,567,531,,,,,,,,,,,,,,,,
5.12,-4,586,547,,,,,,,,,,,,,,,,
5.13,-3,607,563,,,,,,,,,,,,,,,,
5.14,-1,625,579,,,,,,,,,,,,,,,,
5.15,0,640,591,,,,,,,,,,,,,,,,
5.16,1,648,602,,,,,,,,,,,,,,,,
5.17,3,648,608,,,,,,,,,,,,,,,,
5.18,4,635,604,,,,,,,,,,,,,,,,
5.19,6,615,595,,,,,,,,,,,,,,,,
5.2,8,585,576,,,,,,,,,,,,,,,,
5.21,13,554,553,,,,,,,,,,,,,,,,
5.22,18,518,525,,,,,,,,,,,,,,,,
5.23,23,477,493,,,,,,,,,,,,,,,,
5.24,25,433,457,,,,,,,,,,,,,,,,
5.25,26,397,424,,,,,,,,,,,,,,,,
5.26,26,374,401,,,,,,,,,,,,,,,,
5.27,26,369,392,,,,,,,,,,,,,,,,
5.28,26,386,402,,,,,,,,,,,,,,,,
5.29,25,426,429,,,,,,,,,,,,,,,,
5.3,24,476,465,,,,,,,,,,,,,,,,
5.31,24,524,499,,,,,,,,,,,,,,,,
5.32,20,556,522,,,,,,,,,,,,,,,,
5.33,19,564,524,,,,,,,,,,,,,,,,
5.34,18,545,500,,,,,,,,,,,,,,,,
5.35,17,487,441,,,,,,,,,,,,,,,,
5.36,14,392,344,,,,,,,,,,,,,,,,
5.37,10,254,209,,,,,,,,,,,,,,,,
5.38,8,78,41,,,,,,,,,,,,,,,,
5.39,8,-124,-150,,,,,,,,,,,,,,,,
5.4,5,-343,-357,,,,,,,,,,,,,,,,
5.41,5,-563,-564,,,,,,,,,,,,,,,,
5.42,2,-775,-767,,,,,,,,,,,,,,,,
5.43,0,-971,-957,,,,,,,,,,,,,,,,
5.44,-1,-1147,-1123,,,,,,,,,,,,,,,,
5.45,-3,-1291,-1260,,,,,,,,,,,,,,,,
5.46,-4,-1392,-1353,,,,,,,,,,,,,,,,
5.47,-4,-1447,-1401,,,,,,,,,,,,,,,,
